	Sample_N1	Sample_N7	Sample_N13	Sample_N19	Sample_N25	Sample_N31	Sample_N37	Sample_N43	Sample_N2	Sample_N8	Sample_N14	Sample_N20	Sample_N26	Sample_N32	Sample_N38	Sample_N44	Sample_N3	Sample_N9	Sample_N15	Sample_N21	Sample_N27	Sample_N33	Sample_N39	Sample_N45	Sample_N4	Sample_N10	Sample_N16	Sample_N22	Sample_N28	Sample_N34	Sample_N40	Sample_N46	Sample_Pan01	Sample_N5	Sample_N11	Sample_N17	Sample_N23	Sample_N29	Sample_N35	Sample_N41	Sample_N47	Sample_Pan02	Sample_N6	Sample_N12	Sample_N18	Sample_N24	Sample_N30	Sample_N36	Sample_N42	Sample_N48	Sample_Pan03	Sample_N50	Sample_Pan04	Sample_N49	Sample_Pan05	Sample_Pan06
hsa-miR-130a-3p|miRNA|hsa-miR-130a-3p|hsa-miR-130a-3p|hsa-miR-130a-3p|0|22	-1.3064745260544	-0.15793413345227633	-0.11713917769883177	-0.24628778396594417	0.4068451792163506	-2.372762365869106	-1.5076053993899592	-1.3241468501045277	-0.4061008497334788	-0.7308096643278038	0.04410628460083656	-1.0342019069327388	-0.02626339062841249	-0.22205578258703562	0.7384585158221152	-0.2170183210072195	0.09040570950858579	0.5295298535289157	0.3400798104864206	-0.798456509647362	-0.028077535078861605	0.5103731256273776	-0.09998464514320736	0.2870297490161872	-0.26368882532368987	1.2642537378196752	-0.9020461103802682	-0.03610886259957564	1.6630919694908732	-1.3091317310508328	1.8643301186714254	0.10623517595393256	-0.37792866821696186	1.114244433038283	1.660001580418244	0.7642003429813299	0.9843571066245632	-0.4270438793943177	0.3866607379170176	0.6013700463881453	0.02626339062841249	-0.17143801013324045	0.3671511444010263	0.6540118438189757	1.9262318576344035	1.4486519497845733	-0.06453417363945929	0.08157744163872792	2.1392249742820173	-1.3791194085602745	1.914353617289017	-0.30719242816799985	1.351380647695309	-0.05573735252560012	1.3141524316346676	-0.9107515136315604
hsa-miR-410-3p|miRNA|hsa-miR-410-3p|hsa-miR-410-3p|hsa-miR-410-3p|0|21	0.2964811629145194	-0.3016873370070232	-0.6419993339819519	0.15901795341388678	0.09726277953036327	-1.7592987499417116	-0.8143473212811115	-0.7733382354752797	-0.3561229047078384	-1.9015292500544487	0.016645362641612354	-0.4760736050360766	0.7163304622527615	0.3019032790772391	0.2952619387398261	-3.1667081871458476	-0.050199486781641656	-0.09397910698931518	0.24890684587107034	-0.04854013439373674	0.44877693040533717	-0.18712939482622168	0.15645235052400946	-0.33711950530172763	0.33289500915018666	-0.4143476143610634	-1.1372185458522253	-0.22089273025221237	2.137373730014529	-1.2980236971953638	-1.8129593613012018	0.5612139206494426	-0.5871806952514012	0.5773570762393487	0.587353778189157	1.1364016402089923	0.6414429773488308	0.34800250397471383	-0.016645362641612354	-0.2354395813279459	0.5913696999374654	0.8290948128225549	1.5519505493019967	-0.07353456901049366	1.3983922114487186	0.4077767932815228	0.9034725603425181	-0.4477832817451393	-0.4304059600223994	-0.40573170787485646	1.5508601664755117	0.511901250245473	-0.5164332919029678	0.8817989228695622	1.593417886664941	-1.0033537215313004
35065|tRNA|35065|peak_375|35065|0|40	0.7320549545859311	1.48473140037768	0.4410711252910667	0.8323978796300542	0.958890250210436	1.0099154296049677	1.175878454279655	0.5777350332469762	0.5046265949484692	0.0018368281806491948	-0.0543115515549458	-1.129258384821513	-0.9357845944145154	0.4494714887588538	0.17635116773741158	0.1572231256252025	0.2101865477816016	0.7765579168540064	0.4724206976472999	-0.9485945687532245	0.9559365685105816	0.46420702195751706	0.1984826636084018	-0.18194019987922896	0.7203626110026247	-0.686290841568889	0.8187095263184354	0.18092516720314128	-0.6125398982261998	0.4710141974090709	-0.9392508822735919	-0.3805441018454614	0.7573717763298006	-0.3851463712093002	-0.6690226715730595	-0.5544773885419431	-1.1301328153191732	-0.1627891913848997	0.6357671579365487	-0.4463557421967048	-0.06592966724579499	-0.39056020498117666	-0.21310543075407737	-0.2217313687050193	-1.0810933253148312	-0.10044969310491937	-0.18111163788209603	1.3830746868616064	-1.5827200460790303	-2.9874715812670356	-0.0018368281806491948	-0.34485044050395475	-0.39489066670860595	0.14606575405052627	-2.070222125472363	0.642566593274909
ENSG00000276788.1|snoRNA|SNORD26|peak_721|ENST00000384147.1|20|75	1.2575124691131976	0.050783071035768526	0.46833974647365767	-0.44558216199735706	0.17482158700256967	-0.3492511967031228	0.12840086278609023	-0.2817304607348945	0.2929525730195221	-0.33449623760639	0.2434055149265909	0.8800616469003458	-0.8801943524738974	2.842208893973112	-0.9312684230155479	-0.08265507513363998	0.5224118969628366	-0.303292197124198	0.5748247512857944	0.8800960152984001	0.5079593099222832	-0.8675305233998655	2.44259233119207	-0.3037859446776664	-0.38574787023636364	-0.19356741178151335	-0.3620749388306548	0.2751296123197796	0.08595088374563534	1.5738247045144111	-0.7674253148159949	0.6515285573983213	0.6905949548864794	0.8710651914566594	-0.08283443738913937	0.47716105028914196	-1.5152566648539596	0.20821434504860178	-0.13549170159977614	1.5556472989772787	-0.09311097418111482	0.4629257102446981	-0.8885694660733694	1.0614191114579867	-0.050783071035768526	-1.3295690777016957	0.6486001542597944	-0.5555697351957025	1.9724367386022277	-1.4486325355143554	-1.4136089511354948	-1.3023662292944311	-1.654831348228196	0.12806299709709526	-0.571421264982824	-0.5211930718336255
ENSG00000280156.1|lncRNA|AC006548.3|peak_1541|ENST00000623130.1|6920|6960	1.1440298420231778	1.317255848229655	0.7014503134230695	0.22554193339430326	-0.3610952336466083	-0.1670663552740338	0.8242990592515603	-0.8782830266468814	0.9219489313949338	-0.5876831718527108	-0.19616352654059574	-0.566326421866494	-1.0372759295918252	0.6038511918413128	0.02587302024764632	0.6338987217374987	0.3987808348866065	0.17777386873242282	0.13649473966007517	-0.7605070314473448	1.4539195825617095	-0.07579716395353302	0.2716128446261355	-0.6758202884593124	0.11340485340865347	0.19181295693201963	-0.5391069648550706	-0.18260419879023623	0.6163897032345036	0.6138268923267809	0.9565099507500581	0.5169950578879888	-0.034581781881099845	0.823798408354655	-0.518175913393567	0.22743709468678663	-1.7140150626791921	0.15720269136840517	-0.10531415900590489	0.3570524950347614	-0.7133671128726734	0.23078369288403672	-1.0021049509114368	-0.4229808714653141	0.6384054471461562	-1.3925111977900047	-0.07642372269385621	0.2714003873385063	0.0629102101661277	-2.337704807600965	-3.678843356634523	-1.2001906740249764	-0.02587302024764632	-1.3205519047023275	-0.24992724541367334	-0.6264919450252905
ENSG00000280156.1|lncRNA|AC006548.3|peak_1543|ENST00000623130.1|30360|30420	0.902232866701026	1.135272037909598	0.37599170117821723	0.2699545565313743	-0.20602971356210295	-0.46231285902265656	0.2079769562124237	-0.6172357750189786	0.7083841098260865	-0.027414246257812996	-1.2814204168349714	-0.656726032179963	-0.3526361157096983	1.0758695155668745	-0.037303789639897854	0.5613137095319023	0.2872800279686357	0.26650591228036835	0.2792082219801639	-0.891652945389536	0.8711939115096403	-0.3613993967109854	0.20555401135148021	-0.4032577271078795	0.15579013635050656	0.5108261687811417	-0.612500470571901	-0.16473673206461523	0.2816437297080239	0.8789453287202156	0.3311411721780629	0.42825004715833886	-0.4163701512149559	0.5682128204855466	-0.39682435375187136	0.33152440353620877	-1.853261190633395	-0.1770468313055098	0.19891304593099463	0.027414246257812996	-1.0960170625547394	0.9225846602328138	-0.8074820258172398	-0.864269827982601	0.5904900682625538	-0.828680305169802	-0.23014459458965297	0.3718583138616278	0.2082914219414858	-2.5750329970495907	-1.3946658596335664	-0.7043147063627709	0.45789733153085865	-0.9720182104489082	-1.4024927815225217	-0.8976674112987796
ENSG00000280156.1|lncRNA|AC006548.3|peak_1545|ENST00000623130.1|56560|56620	0.8588275565644745	0.5780748142512413	0.4373715680327122	0.3119405633186897	0.03449742515484501	-0.6773656560263185	0.004290834770943474	-0.7487503561823344	0.16998612238434913	-0.5021778903797179	-0.6540557890539056	-0.27034024623052116	-1.1469189993302262	0.8764238687973965	0.034809858226387304	0.08032675577159369	0.48301425966098727	0.33394070368838913	0.15907996817600717	-0.2704182306110202	1.612702343495943	0.16498456678063825	-0.21242908861560486	-0.7038415951652445	-0.004290834770943474	-0.28063862405474227	-0.5004671174782698	-0.3720543622888699	0.852920154366966	0.709927425769668	0.4993048787212561	0.2786665061450066	-0.9796398565538892	0.8032202272927943	-0.18200532234528977	0.4253554504269756	-1.2633744752704863	-0.15082049124950384	0.13596489612128645	0.028085779053808865	-0.8320469516269139	0.4278798265284638	-0.8098485969333934	-0.8154038005479327	0.6124867781876203	-0.9586913295828146	-0.04049737717279847	0.20629957286874354	0.162217930884625	-1.633718937040496	-0.7667155208564518	-0.8858601899147841	-0.05555739323120136	-0.36199610667578386	0.3586448657467971	-1.6397683754739274
ENSG00000281344.1|lncRNA|HELLPAR|peak_1612|ENST00000626826.1|113500|113580	0.5978669244530888	0.9147376762867565	0.5159712289427052	0.1583562956319983	-0.38749171727019566	-0.5881149641051981	0.14251682795277193	-0.895175508524087	0.2013397814340765	-1.070036153277563	-0.8965454797224669	-0.035416701084885836	-0.8819149268791421	1.1031469219661598	-0.08296884914998742	0.3741624687850004	0.10985758068237855	0.3768498109112038	0.15758087444449292	-0.28149477699844594	1.6369768068293116	-0.05200259190408729	0.03541670108488631	-0.6139753179371599	0.09273976304179732	-0.08302801330411773	-0.8147642617361938	-0.45413664783667224	0.6703745558808843	1.1471268606500913	1.044671196655584	0.6839179664957542	-1.8142353477312152	0.3939622279253771	-0.1612764019483476	0.3582361366335382	-0.63356238552953	-0.03631580236843969	0.1754003893388529	0.26822258257825193	-1.2184521774175472	0.8175771943370927	-0.6935284529842491	-0.5830397373225255	0.574140042728064	-1.5479352252845315	0.25777263176422466	0.26215613802069027	0.5590175815451285	-1.8631933636659108	-0.788167697234237	-0.8893475297431148	-0.15848617365261508	-0.350232977187666	0.3946727109278805	-1.3922703249077484
chr16_985540_985580_-|genomic|chr16_985540_985580_-|peak_2953|chr16|985540|985580	-1.14974212887902	0.11338820434574431	-1.5267846352782712	0.38875490542190605	0.0007210467931832226	-0.3670412423115406	-1.731821505707538	-0.1545518444428485	-1.064760663403695	0.25866097302783575	0.2682770711793917	-1.1306243824516757	-0.2612372478623094	-2.6360515792705352	0.5692563426828974	0.7074274113811604	0.17083951429983743	-0.06822961067480038	0.15208312121322382	-1.8009480836273366	0.8315341150651339	0.9846359665142375	-1.7589144914125632	-0.1151715053390002	-0.7467438838506102	-0.506346394397484	-0.060627996765423596	-0.179151327145354	-1.1711237955529055	0.38384514289399857	1.535792996347131	-0.1426402643961502	-0.0007210467931832226	1.1578644787193104	-0.1557508198405958	0.6847608506192056	1.0554570350556247	-0.2867136152498193	1.152393547660609	0.545801065731181	0.2638869000966674	-1.3749238585369248	0.14045611764418808	0.45584381424643233	0.7066915062629794	1.4494209354864043	-0.05482772875447979	-0.13192809340872308	0.9415348628388036	-1.3667246531977693	1.0139512655611982	-0.06506690184186542	1.638888794774798	1.3313608870917426	0.41985953408389487	-0.7803024897261546
chr6_123272560_123272600_+|genomic|chr6_123272560_123272600_+|peak_4721|chr6|123272560|123272600	0.15114210317903268	-0.2521915873638781	-0.10421381195608553	0.7445372651711618	-0.32157403676310137	-0.45858936657418603	-0.2559833348699222	-0.9146245380606709	0.7407143660001836	-0.9462291404450622	0.0013531613722928906	-0.34276780329121953	-0.40775383218888916	1.1775277613335595	-0.8925835967884659	-0.9611533113972222	1.2993064420064815	0.4585890088116593	0.43472854608007117	-0.42233523730309996	0.5719950310131591	0.5668278583178015	0.6931324351651305	-0.7316377045154383	0.3013149636774172	-0.6644474882359148	0.01775031454170854	-0.8596102105253721	0.30897108110327	1.024796847726694	0.39930728724998243	-0.12188149755352665	-0.9475700331342741	1.8304926970921167	1.3172231444407034	0.552260523666372	-0.073176255975189	-0.5149806212901761	0.25410457489680716	-0.0013531613722940618	0.591836036986831	1.4305799658607232	0.7034699018196058	0.5758863675712	1.9883280066721913	-0.44101522910332736	0.5875224097144663	-0.24275634041425787	1.3284303239995967	-0.11579677539643166	-0.8780702668409773	-0.2032113912010911	-0.02538871034924259	-0.25450111584702056	-0.682249457420284	1.573570493744881
