	Sample_N1	Sample_N7	Sample_N13	Sample_N19	Sample_N25	Sample_N31	Sample_N37	Sample_N43	Sample_N2	Sample_N8	Sample_N14	Sample_N20	Sample_N26	Sample_N32	Sample_N38	Sample_N44	Sample_N3	Sample_N9	Sample_N15	Sample_N21	Sample_N27	Sample_N33	Sample_N39	Sample_N45	Sample_N4	Sample_N10	Sample_N16	Sample_N22	Sample_N28	Sample_N34	Sample_N40	Sample_N46	Sample_Pan01	Sample_N5	Sample_N11	Sample_N17	Sample_N23	Sample_N29	Sample_N35	Sample_N41	Sample_N47	Sample_Pan02	Sample_N6	Sample_N12	Sample_N18	Sample_N24	Sample_N30	Sample_N36	Sample_N42	Sample_N48	Sample_Pan03	Sample_N50	Sample_Pan04	Sample_N49	Sample_Pan05	Sample_Pan06
hsa-miR-125a-3p|miRNA|hsa-miR-125a-3p|hsa-miR-125a-3p|hsa-miR-125a-3p|0|22	-0.032694464092821944	0.7384964929772724	0.22995259577077232	0.0820311550741798	-0.8050374598248243	-0.8543673340890172	0.5222945162790303	-0.7551629751111698	-0.4363224678800682	0.5268136744125675	0.25612707492313297	-0.8553314388441812	-0.6360809321042747	-0.1541438813154643	0.6870861177180535	0.5555913514063766	-0.46577077827817365	0.5994654104725595	0.09829030103314267	-1.2082883938125546	-0.10819947086397434	1.5261277597074612	-0.2922239598363741	-0.2888278032410608	-0.32599773666117215	0.04281863797069699	-0.45831767053250677	-0.5037901056902712	1.1425198977981939	-1.564957284800951	2.9653230394250447	0.3142485740922065	-1.0296070744068644	1.3164930474660739	0.7480217905883432	0.6328660681394521	0.2837608262273387	-0.960887371230168	0.4749433787882381	0.03269446409282722	-0.13131655590440502	-0.13561928071171717	-0.056720792811259	-0.2599877847448423	2.334278019390414	0.9136229048296131	-0.7487988145206359	-0.3237790179583807	1.755586168577272	1.5708406598403857	1.583894025777471	-0.31452269554946993	2.295953020496877	-0.05401624311248728	0.7890150177529617	-0.25053266020262493
hsa-miR-125b-1-3p|miRNA|hsa-miR-125b-1-3p|hsa-miR-125b-1-3p|hsa-miR-125b-1-3p|0|22	1.018125600944	0.06407277088423637	-0.4124367621413091	0.843120258146659	-0.5478567837686212	-0.3428064458370279	0.24707369297831078	-0.26666756986284496	-0.6930330463901361	-0.5203841975381176	0.36070362189536187	-1.1627109998122598	-1.0114792673944242	-0.24197102317433003	0.1588630942102043	-2.010970539052962	0.006163367419787926	0.20576492551977144	-0.19940758584972268	-1.3126478101521193	0.7535902007417922	0.4770007292119866	0.26704518722009873	0.10995404548001202	-0.060149182882026184	-0.2654464709006519	-1.2239468488196295	-0.2979200365723994	0.955853920101577	-1.4338374933521967	-0.5887910030517187	0.33619970038145497	-1.0053406331274335	0.9158688598087433	0.4746861474485747	0.6322257432302575	0.1382851343127329	0.03486211559623732	-0.5377882358279593	-0.25347512123922183	0.32495487926286876	-0.006163367419787926	1.0362734275815793	-0.9508846156493982	1.7926749314454702	1.4514713861071507	-0.014808501122060735	-0.991022302728048	-0.4277100347270179	2.07256322620477	1.571868458947372	-0.18082504248330875	1.3031976879442853	0.34957105419723383	0.622241354102875	-0.8536445670437907
hsa-miR-130a-3p|miRNA|hsa-miR-130a-3p|hsa-miR-130a-3p|hsa-miR-130a-3p|0|22	-1.3064745260544	-0.15793413345227633	-0.11713917769883177	-0.24628778396594417	0.4068451792163506	-2.372762365869106	-1.5076053993899592	-1.3241468501045277	-0.4061008497334788	-0.7308096643278038	0.04410628460083656	-1.0342019069327388	-0.02626339062841249	-0.22205578258703562	0.7384585158221152	-0.2170183210072195	0.09040570950858579	0.5295298535289157	0.3400798104864206	-0.798456509647362	-0.028077535078861605	0.5103731256273776	-0.09998464514320736	0.2870297490161872	-0.26368882532368987	1.2642537378196752	-0.9020461103802682	-0.03610886259957564	1.6630919694908732	-1.3091317310508328	1.8643301186714254	0.10623517595393256	-0.37792866821696186	1.114244433038283	1.660001580418244	0.7642003429813299	0.9843571066245632	-0.4270438793943177	0.3866607379170176	0.6013700463881453	0.02626339062841249	-0.17143801013324045	0.3671511444010263	0.6540118438189757	1.9262318576344035	1.4486519497845733	-0.06453417363945929	0.08157744163872792	2.1392249742820173	-1.3791194085602745	1.914353617289017	-0.30719242816799985	1.351380647695309	-0.05573735252560012	1.3141524316346676	-0.9107515136315604
hsa-miR-22-5p|miRNA|hsa-miR-22-5p|hsa-miR-22-5p|hsa-miR-22-5p|0|22	-1.3018562515410108	-0.7296151431242741	-1.1053108448436335	-0.6047971074769052	-0.20049650296053464	-3.398689160426102	-2.0930189596721775	-1.5298126810263206	-0.35576624725332495	-0.974493760939318	-0.3486493389145142	0.35366502426933516	0.15004873652178036	0.2060049932212899	0.30049517098685125	-1.564947780425003	-0.40995527653637664	-0.7382490195070094	0.02651927010430202	0.24755513829039338	-0.1815154975461773	0.23435965160645572	-0.48305694362705814	-0.4372201832537979	0.057676665985646275	-0.31585906959704496	-0.7752375061658774	-0.625608714377148	0.4693094766107354	-0.9748776480986566	0.406792485733877	0.25000630713870164	-1.276230750456375	0.5570595276746061	0.8904417874377366	0.3732440566436369	0.9384626735987197	-0.012957576861921774	0.882897149928443	-0.1855653700363189	-0.3418423170514708	0.11623425850039318	0.012957576861914054	0.3466312298249925	2.1100490944703054	1.02882052312943	0.2133176233419215	0.060561207526375206	0.6568865815900276	0.017373641796095473	1.5709683722545695	-0.7403558539796674	0.9663225758132727	-0.10669637885263074	1.1996625562661107	-1.147841012014492
hsa-miR-410-3p|miRNA|hsa-miR-410-3p|hsa-miR-410-3p|hsa-miR-410-3p|0|21	0.2964811629145194	-0.3016873370070232	-0.6419993339819519	0.15901795341388678	0.09726277953036327	-1.7592987499417116	-0.8143473212811115	-0.7733382354752797	-0.3561229047078384	-1.9015292500544487	0.016645362641612354	-0.4760736050360766	0.7163304622527615	0.3019032790772391	0.2952619387398261	-3.1667081871458476	-0.050199486781641656	-0.09397910698931518	0.24890684587107034	-0.04854013439373674	0.44877693040533717	-0.18712939482622168	0.15645235052400946	-0.33711950530172763	0.33289500915018666	-0.4143476143610634	-1.1372185458522253	-0.22089273025221237	2.137373730014529	-1.2980236971953638	-1.8129593613012018	0.5612139206494426	-0.5871806952514012	0.5773570762393487	0.587353778189157	1.1364016402089923	0.6414429773488308	0.34800250397471383	-0.016645362641612354	-0.2354395813279459	0.5913696999374654	0.8290948128225549	1.5519505493019967	-0.07353456901049366	1.3983922114487186	0.4077767932815228	0.9034725603425181	-0.4477832817451393	-0.4304059600223994	-0.40573170787485646	1.5508601664755117	0.511901250245473	-0.5164332919029678	0.8817989228695622	1.593417886664941	-1.0033537215313004
hsa-miR-760|miRNA|hsa-miR-760|hsa-miR-760|hsa-miR-760|0|20	-0.024893876018281812	0.40428333744491746	0.024893876018286056	0.19851940818624894	-0.3438883921255043	-0.77671931140807	0.38695691827070394	-0.4592197806106865	-0.36559084801433006	1.0948478867754388	0.11011093765979862	-0.753945689187361	-0.5637719218127515	-0.22253297271604405	0.6205068804054086	1.0012464387805764	-0.30786685463402	0.6262942189637949	-0.18765737523944215	-0.9132109976420841	-0.4885104799972104	1.143482966331413	-0.37849056148008187	0.03745946597903136	-0.20148889350809537	0.20951046952426744	-0.5646176409426057	-0.2893612887605628	0.8781840904843514	-1.1919106085413544	2.914894117525304	0.04783424806481864	-1.034022700773694	0.8669175904361014	0.7345101966147831	0.17587592758070483	0.27093588659729906	-0.6821296851871488	0.3203861683133021	0.2985864434342064	-0.07550141770896623	-0.16200290249729052	-0.18275989037221732	-0.260294825362868	1.545020801601083	1.1015820255360467	-0.5485305164555467	-0.35494197011732365	1.2056560652094	0.9523275302783316	1.3267004241289648	-0.31431436333736745	1.8188668267892467	-0.21828129379038644	0.750570557239696	-0.22264788828820326
30984|tRNA|30984|peak_320|30984|20|72	1.7791502048836056	1.3998970043542023	-0.8166900619304955	-0.7279159413629559	0.24026855828715876	0.36174414006979677	0.6429390769727584	0.6927765827419922	0.9215323612501704	0.4455189546198534	0.30886919404107355	-0.8271293637736006	-1.629694662040473	0.1741642477114285	-0.4039725243535451	0.8205665693079808	0.035761461177440154	0.45755083967786725	-0.31385172352359475	-0.8161384396216183	-0.027837776726530258	-0.9300783512408123	0.0278377767265319	-0.24609018129968566	-0.059496968805145746	-0.44115025188034845	0.21786254292400242	-0.6574201407172273	-0.5729680494203104	-0.0861323839789764	-1.7670966368155754	0.3121810691571329	1.779130357044976	-0.4352307016312252	0.11516349800031718	-0.171510986424263	-1.0190807246186113	0.6013500922059489	0.5495102555016766	-0.40522000094528143	0.43959409115632286	0.32971664864146755	-1.2550887014580707	-0.11500993110288857	-2.5932224341595407	-1.6742600703839499	0.3304490857654469	-0.04798500977461149	0.34038981369907667	-2.046784762269917	-0.4403666239307057	0.449313330006366	0.39469387328850614	0.26151037747331135	-1.0658916638509817	1.6796990935758946
G029527|tucpRNA|G029527|peak_1697|T126465|980|1020	-1.6206842043735443	0.3493160971055862	-2.3216526722916995	0.40729331843663946	-0.2870937734507434	-0.7982288540634106	-1.6448919924129584	-0.4467906743838939	-1.0534041599453465	0.46184859626855135	-0.018390023655199948	-0.7651890894584058	-0.19972114784521328	-1.6933942793920116	0.08302833753689533	0.006191674606979267	0.11689205914808777	-0.09680050173429747	0.09708570043384471	-0.9305485551379078	0.2631785589910825	0.4900065387181704	-2.297293232789124	-0.5331114559255051	-0.9594367543558406	0.3459421253600929	-0.03417811155838639	0.03807535244928362	-1.2417642869772576	-0.014963872394951993	0.19787851927733818	-0.47960884546723376	0.464811938927904	0.5770912867471355	-0.5340557551106234	0.4253047443003962	0.9102774818483768	-0.8753312024368427	0.6816521981120512	0.41076368989980294	-0.0024375049772892635	-1.9328044426143605	0.0442623716837871	-0.1986200049813674	0.0024375049772879247	0.9062671084949487	-0.19976383112550192	0.2891205429283579	1.095855508271693	-1.6196699774623722	0.4706644672402135	0.47637983924515137	1.0394178961252611	1.0689323124443604	0.3795193630661487	-0.44086439848673337
chr16_985540_985580_-|genomic|chr16_985540_985580_-|peak_2953|chr16|985540|985580	-1.14974212887902	0.11338820434574431	-1.5267846352782712	0.38875490542190605	0.0007210467931832226	-0.3670412423115406	-1.731821505707538	-0.1545518444428485	-1.064760663403695	0.25866097302783575	0.2682770711793917	-1.1306243824516757	-0.2612372478623094	-2.6360515792705352	0.5692563426828974	0.7074274113811604	0.17083951429983743	-0.06822961067480038	0.15208312121322382	-1.8009480836273366	0.8315341150651339	0.9846359665142375	-1.7589144914125632	-0.1151715053390002	-0.7467438838506102	-0.506346394397484	-0.060627996765423596	-0.179151327145354	-1.1711237955529055	0.38384514289399857	1.535792996347131	-0.1426402643961502	-0.0007210467931832226	1.1578644787193104	-0.1557508198405958	0.6847608506192056	1.0554570350556247	-0.2867136152498193	1.152393547660609	0.545801065731181	0.2638869000966674	-1.3749238585369248	0.14045611764418808	0.45584381424643233	0.7066915062629794	1.4494209354864043	-0.05482772875447979	-0.13192809340872308	0.9415348628388036	-1.3667246531977693	1.0139512655611982	-0.06506690184186542	1.638888794774798	1.3313608870917426	0.41985953408389487	-0.7803024897261546
chr5_163650020_163650060_+|genomic|chr5_163650020_163650060_+|peak_4535|chr5|163650020|163650060	-1.4961700432492613	0.07097918075697994	-0.7149350773284945	0.42141205507711244	-0.15041398156135757	-0.555950524325944	-0.9576988869905644	-1.0446992623083462	-0.4765898514351146	1.003936874539715	0.39025376725504624	-0.6631567290948156	-0.28463819998932116	-1.3625142266572012	1.555511133504008	-0.5289093640209801	-0.5544121357888475	0.42583634674420967	0.3336203723980833	-0.6420759150466213	-0.33828922427916447	0.218401524760675	-0.43464802995719587	0.49567824862151505	0.06899910746186744	-0.06899910746186613	-0.07277253095150425	0.3347623141834439	-1.642824996749718	0.15862888299249872	0.6659514943644897	0.123620284852442	-1.094475795507691	-0.920332432275832	0.5973890569358447	0.4376375768878265	1.0069501256430071	-0.6840567633365204	0.3263113431031784	0.11367723126989857	0.842838621078104	-0.28920088187107235	0.3339299446798567	-0.2476420685131227	-0.1417218660480807	1.2045316186375339	-0.7226072535225648	-0.07789242932882376	-1.415672814062798	0.3204544109493693	1.122481807379826	0.47258872841458865	0.8949971701985779	1.0702812762693268	-1.0125653838662234	0.40703663117235156
