	Sample_1S3	Sample_1S6	Sample_1S9	Sample_1S12	Sample_1S15	Sample_1S18	Sample_1S21	Sample_1S24	Sample_N1	Sample_N7	Sample_N13	Sample_N19	Sample_N25	Sample_N31	Sample_N37	Sample_N43	Sample_N2	Sample_N8	Sample_N14	Sample_N20	Sample_N26	Sample_N32	Sample_N38	Sample_N44	Sample_N3	Sample_N9	Sample_N15	Sample_N21	Sample_N27	Sample_N33	Sample_N39	Sample_N45	Sample_N4	Sample_N10	Sample_N16	Sample_N22	Sample_N28	Sample_N34	Sample_N40	Sample_N46	Sample_N5	Sample_N11	Sample_N17	Sample_N23	Sample_N29	Sample_N35	Sample_N41	Sample_N47	Sample_N6	Sample_N12	Sample_N18	Sample_N24	Sample_N30	Sample_N36	Sample_N42	Sample_N48	Sample_1S1	Sample_1S4	Sample_1S7	Sample_1S10	Sample_1S13	Sample_1S16	Sample_1S19	Sample_1S22	Sample_N50	Sample_1S2	Sample_1S5	Sample_1S8	Sample_1S11	Sample_1S14	Sample_1S17	Sample_1S20	Sample_1S23	Sample_1S25	Sample_N49
25608|tRNA|25608|peak_183|25608|0|40	1.0328623269402881	0.42196804402508825	0.6807674751298441	0.6187795822126178	-0.7778111126663938	1.478692242196015	0.36357134405629626	-0.06082951232769279	-0.27050801096265237	0.24899922790878443	-1.4337420604012192	-1.2257995792513228	-0.4382027160784016	-1.111779697208526	0.0988088320062881	0.26425624849607676	0.9972370975870746	0.4202560179890456	0.3288804139061814	-0.5526399058821408	-0.06876590741605935	0.047827960333280496	0.3298598053169762	1.2774035629770026	-0.14998039808571442	0.0	0.01795446005799663	-1.2078631104801603	-0.37137594338035845	0.6220912217608019	-0.3841472453337858	-0.8290754324896018	0.19937969315450918	-0.3080501235659811	1.1972926118021294	-0.023729569107475774	-0.7407216084281563	1.4439168918051684	-1.830197097324756	-0.15720420206072164	-0.2559931962231646	-0.32072546512463085	-0.19882700368272277	-0.44928371612602663	-1.0959106309804318	0.9940632475131856	0.3961267840777533	-0.031193046321806535	-1.2403311867015616	-0.6381354579264752	-1.653506921575042	-1.9448664697144749	-0.5223259389692906	0.18636491993968346	-0.46688302815218335	-2.7739507871526903	1.3022672390633856	1.5976292267717669	0.5476217212809453	-0.28302165047992944	-1.2959578834854149	-0.24306431100895676	0.6464390921827017	-0.179892915298613	0.08359190255611727	0.7556202802185088	0.5362115344408447	1.1269907091345914	0.03378079222774027	1.440398680851074	1.9794481103950732	-0.8086526000488772	0.9524608193909543	0.10834328443716836	0.2670059510381954
26876|tRNA|26876|peak_212|26876|0|72	1.246218804084098	1.0234780501578238	1.3605306924723313	-0.4543071600422093	1.6765631587677658	1.2975834451327368	1.3618590519697031	0.9699307407534451	0.9586388226599741	0.9644107144124473	0.5202945283505066	0.30540147004750967	0.9685176586037253	1.8827520450594386	1.208813989619957	0.4811714291856804	0.0	-0.05299879221545091	-0.04351519836936136	-0.6331147671643601	-0.26606324830083095	0.5901882640447219	0.6613530005194769	0.35306780981028074	0.34733973840563764	0.34546941370814443	-0.03760071947083022	-0.4822180314986006	0.8674016183910827	0.6568973130336165	0.34843034189146066	0.025671441633771493	-0.13898338316807882	-1.7463308210159612	0.24398770841404957	-0.44520816158072857	-0.7956098442545307	0.04747748029085905	-0.8183370225885205	-0.9730156991134146	-0.9057666548794828	-0.2530830614069637	-0.9345509419480545	-0.393253366374656	-0.0035613051210547277	0.3563697840162726	-0.4451841004900161	0.018512018428283265	-0.1411963514947887	-0.22883586794365376	-0.933292923883759	-0.17131307946604601	-0.2575584239229691	0.5528993429778215	-0.6219935960496676	-2.279935362125167	0.3276893181819906	0.025105095810170303	-0.1457922413684634	-0.6360295288175534	-0.870183433679451	-0.152247748573008	-0.035940527201513146	-0.13209608390421015	-0.6477130869581745	0.5546546631840774	-0.2155412804407873	1.145596889936639	1.0667728122856908	-0.008615714324229903	1.0050663602307062	-0.5115717360500269	0.248182931559591	-0.45040670694385143	0.5713742690906086
30343|tRNA|30343|peak_269|30343|0|40	1.7159948471244788	0.625374466271744	2.0865604091372676	0.7529830226749488	0.13257948510410597	1.7704227373061885	0.32328236675403815	0.3017576735453576	0.024610673290973255	1.8358539908812954	0.04583977428920045	0.0	0.06891989451915026	-0.3084489417391307	0.5076862072092327	0.06996246824229671	0.1204008402284003	0.7048939250747667	-0.6624459352109711	-1.2645418550566372	-1.224902323264249	-0.1655484978590103	0.3449471098400048	1.370902928743015	-0.5067517489747739	0.8658165630837422	-0.33578001688590287	-1.1536457258998136	-0.24634677123603	1.0766294868236534	-0.0026822660534304367	-0.20452110478598826	-0.33967691800345023	-0.5033164248639285	0.4404922070283776	-0.42507519321996046	-0.7832836894209594	0.24087918918997409	1.2278851085823166	-0.4817374267656513	0.3991646551614353	-0.6276774921520972	-1.0827842106057053	-0.6546310698020318	-0.7537099747257727	0.7153259359565813	0.07667070880538217	-0.13990189111783857	-1.2839778344600887	-0.40620735803378144	-0.9183116393255428	-0.9004704246624294	-0.4404273343659816	0.6573488357586172	0.3741480331663827	-1.8923834215566357	0.8332069920160625	0.5701490316591344	0.41762755227706355	-0.401535381552204	-0.5916429037117819	-0.20969740248910743	0.2847724393005512	-0.24712013096816846	-0.647220001492191	0.2778245501204879	0.713218142846006	0.9741847735751998	-0.19568191699644305	-0.14869949060175067	2.0845292936824547	-0.26927888188109084	1.0706178237063557	-0.5084743146511302	-0.41102361293909034
30801|tRNA|30801|peak_286|30801|0|72	1.789263969709712	1.3210635721931583	1.9294219017150258	-0.2149752586478933	1.7259154285179321	1.3544849356998043	1.602904787113509	0.8808815075571372	0.5863835617107495	1.5450070506960665	0.9708837401548637	0.20057826576979587	1.0272979706989067	1.9872206421272276	1.2837773723156067	0.849768032480148	-0.27293179759722214	-0.10542683643608396	0.13060718495961907	-1.0158066840844906	-0.8827208894149657	-0.0915899492075891	0.7948307806940998	0.3062492608273576	-0.2550337620751315	0.6181857925286451	-0.009642294679417844	-0.7312042787591037	0.9832177888198785	0.8153009485718963	0.0	-0.053565815150059176	0.14761067991357388	-0.12153911745530556	0.1785633158405578	0.07279820603386529	-0.8929030014893604	0.44753949869534476	-0.9633993653824307	-0.9990762272039784	-0.3363642034348101	-0.9253355536781801	-0.32890659035182146	-0.9050115382191122	-0.14293193037878024	0.5647456732121188	-0.5560753401348189	-0.023644574362569653	-0.2332414245849622	-0.5240500653054307	-0.6137451746147468	-1.2230376241729393	-0.24169103263902983	0.3444708663198898	-0.6420465337425544	-2.163426240733642	0.7314264517195613	0.4158636864251348	-0.8283721124614742	0.3697849743207941	-1.1812184084902717	-0.5713643863770138	-0.23386817568447912	-0.2222383271752786	-0.07432444676423743	0.4321379499663378	0.6659934815063061	0.6687357247070623	0.6268723889702073	0.35908610737572927	1.020838891686334	-0.6967774178204688	0.40173187228697443	-0.1450317709067327	-0.1765191595191604
34164|tRNA|34164|peak_359|34164|0|72	0.7376791822371872	0.741790212976976	0.9460090597333636	-0.015501076736137364	-0.0709995676438822	-0.27704145053515855	0.7473376155934067	0.0001212413079676076	0.6756583482682443	0.7545957968300343	-0.6799339421697475	-0.6957107550383541	-0.6751920161081345	0.045868471018275035	0.5606344391432055	0.8262088338150827	0.28240829560553704	0.2273661644751404	-0.037199096202405496	-0.4151124855663937	-1.0802812203027594	0.03484094586808175	-0.3114150211429024	0.7233000894845761	-0.16845273334671235	-0.09300423771757674	-0.8893585893197148	-0.37568390907252486	-0.29927599411975264	-0.5092225404817021	0.34669055221654516	-0.018450027885157948	0.13895252043570278	0.0	0.7971916151585439	-0.47467840825415203	-1.0920227566850003	0.811476493357092	-1.476656795881263	0.49238234935163405	-0.24939106918286466	-0.0070135102383497485	-0.1308521540785596	-1.136265829206586	0.35510402127153	0.4646722268524447	-0.39336154426663344	0.2501273846477006	-0.8971871671373993	0.007107184434833877	-1.9396492867154567	-2.340430914591345	0.15961466485819456	0.40756039120753074	-0.9092896850889943	-1.8966295723960453	1.3165009547000905	0.8798975470247771	0.6665481435806974	-0.37945587300946365	0.6797726334204602	0.28668864975704567	-0.3301977422502423	-0.9281683727385077	0.15893618622262454	1.3218083533034943	1.1098750333776424	-0.10706829056940086	-0.29125814694323054	0.8431412222811617	0.8533933620822604	-0.7014070825986971	0.536557333599871	1.2504255682208185	-0.15509321684427516
ENSG00000276027.1|snRNA|RNU12|peak_532|ENST00000362512.1|20|150	0.9867982912947918	-0.3942926364142542	1.6848177598326797	2.2188074992373767	-0.7273750924312132	1.5454104893746992	-0.21930434034833085	0.006418602176351155	-0.07139411199848977	-0.232234575341426	-0.018316887834221914	0.5525804665469847	0.0	-0.385110680900323	-0.4216956756801952	-0.6249905661921138	0.2863282425756838	0.08996819539498062	0.511390217231541	-1.5977405104145397	-0.3599876261201345	0.5984873671355935	0.8462763339380571	0.6564143258439517	0.08591734771338756	-0.32449380575303516	-0.3350366837974127	-1.895231743675598	-0.1724274541434931	0.7945192042033922	-0.7885652754371916	0.16478569503657958	-1.4935546469014667	-0.260798381984741	-1.1081847339122104	-0.08171297901667629	0.08654050813519687	0.2579062254312606	2.3687985196549963	0.154481994309071	1.3276342742136789	0.9244039936303703	-0.30741874567284705	0.15387120287170078	-1.7579074752335255	0.5627346862012287	0.5748144616241463	-0.4983488644842244	-0.026351639880803638	0.5490835668319302	0.9216007684046543	0.7803013974418411	0.17052689373529184	0.27470496781680137	2.6275896514135733	-1.5394372230416329	-0.2922740291466969	-0.26739997994641224	-0.34947658166135154	-0.5009888931894647	-0.7763355058948	0.5416629760165014	1.0959644479384951	1.1396686012265866	-0.08785140622054129	-0.7862569302539064	-0.5324313925685665	0.9047304601320149	-0.12330201744118362	1.4316749293800395	1.5058687432486964	-1.2282860255802488	0.980967637536993	-0.8722894519978834	-0.22777133266726232
ENSG00000261889.1|lncRNA|AC108134.2|peak_1322|ENST00000570843.1|0|100	0.23702152032658477	0.8144549646808099	0.7052222323940809	-1.5120737455996398	0.131224710617078	0.3082521905120143	0.553146222223047	-0.15931846143551837	-0.4131414528323301	0.27184130703983095	0.16111537546039006	-0.4824417315510098	-0.2388030972813054	0.589317525980919	1.0255393773362782	0.18596108460483304	0.12015271508650664	-0.2910357207710088	-0.9831396071087387	-1.0863706398889088	-0.47055889211265567	0.4342271334186547	0.18309518234135697	1.2106467688839282	-0.5544668021335026	-0.6743718333135473	0.0	-0.7228708442250803	-1.3158648616215123	-1.0940828341975848	0.36253789017195187	-0.10917979037818108	0.2951740673717911	-0.23952293089479423	0.3837660176198641	-0.44657107258732126	-1.1505480015860918	1.0288942667821837	-1.1474573362709695	0.38739534693308403	-0.28254894376310796	-0.8083560056858711	-1.0041220131414905	-0.46402862672225237	0.265904317387379	0.23819826509509695	1.1247916925623123	-0.265268211525177	-0.9054030724530906	-0.34760169230865906	-1.2246283107990679	-1.6491114777621085	-0.5073051647636347	0.6061846973700048	-1.3533721734672277	-1.2846986174520618	0.9080279110081734	0.5401095707733109	0.40981141445930525	0.3824651788083549	-0.17905165595386743	0.1461512205027696	-0.20668861393856958	-1.5291231452952123	0.010655979449416526	0.6622747909025437	0.8289076597429398	0.4186612265314753	-0.7507787112895294	0.40408053999969024	0.5085907999872132	-0.5058494833083481	0.28995163571962723	0.30265680535218525	-0.6760687660235462
chr12_98504240_98504340_+|genomic|chr12_98504240_98504340_+|peak_2566|chr12|98504240|98504340	0.22199017901931178	1.081239125567402	1.139301677408499	-0.2451621810293182	0.7658637750325922	-0.5668506322329135	0.6075262429346842	0.0	-0.5536723630672447	0.7617665494147257	-0.16007509597314024	-0.17866633467731524	0.23334233958133346	0.4831153460782996	1.3380207828355213	0.1439311368645187	0.3913825543503128	-0.13666718039601577	-0.8144563294611092	-0.5667932923218677	-1.2993982067684522	0.17008057256797643	0.11123173886038767	1.5711368925175955	-1.062679142983581	-0.6303684123705076	-0.012222389919632152	-2.6114103465898357	-1.2686025085481256	-1.1733315590822782	0.2565678542761995	-0.18066640223572442	0.2791080188621667	-0.45417781664277035	0.5831535452727622	-0.10762193177531994	-0.7712405321493051	0.9204938381680406	-1.5737999523530741	-0.35308979083747283	-0.44749204933313186	-0.36248935391524634	0.2774579772955239	-0.10799231446262635	-1.5265956921085326	1.181979189618363	0.3076811506475527	-0.05154282077210424	-0.9356149632258925	0.045276414362113604	-1.6561981868886393	-1.7622236525683421	-1.1357458305625097	0.7028401589556571	-1.257641325455995	-1.664009653410774	1.7850083749668222	1.0538306737014125	0.8217160584537322	0.3771110491537445	0.29151035738214365	0.22216439469810964	0.3249575071141988	-0.9914081643900344	0.13139964630689227	0.7974714364896985	0.41139840104626796	-0.17037896100482225	-1.0711797955928692	1.0566676537455895	1.3303058830379089	-0.7915195491839405	0.38272997293635463	0.37421363885494807	-0.10020796295443027
chr17_43025280_43025320_-|genomic|chr17_43025280_43025320_-|peak_3159|chr17|43025280|43025320	0.6997429589642928	0.30579281773089784	0.46727099241029724	0.22232037491128737	0.12267414993586813	1.3946724129761372	0.10576945547570649	0.021408973918084453	-2.3924200342937842	0.260497235132162	-1.367541793265067	-0.0299157392537682	-0.3997653812851897	-0.07186420314321024	-0.6444433666521496	0.7963783386476819	-0.3108345986841966	0.9511102681459298	-0.36955561641890494	-1.3150117325010566	-0.6900895486463593	-1.0355212133784204	0.0	0.6911291728872219	0.3684137922306812	-0.27775665428588814	-0.17905865492822287	-1.4613199083796582	0.5002106277363945	0.11545399079191894	-0.6082428418558616	-0.02448266925543869	0.12769095045766327	0.10576905441803373	0.07164692369268563	-0.3933433242891236	-0.9173638048111208	0.32245685564629345	1.135149885791798	-0.9542226279256653	0.7450170541571987	-0.16337962782237064	-0.7156837421270275	0.9056302353567249	-1.077155707559637	0.4910785330514947	-0.2099771498568522	-0.900860378936731	0.1460227047670356	-1.4127005823465761	0.13488456613882666	0.3713991486787021	0.2197780800511557	-0.7619202281924955	0.5021381763806385	-1.8952565263363084	-0.22924587677891634	0.5637607491998889	-0.5307810585115278	-0.7014286082344797	0.727152916521454	-0.5564168317016741	0.311312721428472	1.0581756616159081	-0.05397086268407318	-0.7287454948998515	0.04184045932191948	0.37591464281328485	0.6834470378919102	-0.5376522203461007	0.8893495054722605	-1.9123252725196338	-0.014114341902548316	-0.7072783263307559	1.1045270681628587
chr4_166142580_166142640_+|genomic|chr4_166142580_166142640_+|peak_4337|chr4|166142580|166142640	0.6273362347915461	0.42642843041970563	0.7023843865400603	0.5828272451955507	-0.27832740856369126	1.241944308740609	-0.9346112141770577	-0.93491655841331	-0.2733306137858205	-0.8640934269726932	0.49419957594855435	0.1839153563056496	-0.375060497479097	-0.8157910297281006	0.020404149436702906	0.40089363640335735	-0.6169041841316244	-1.0513238945105619	0.175245054935188	0.21877862437013587	-0.17581735383882885	-0.27683360266028856	0.6035454795551263	1.0270040214170668	-0.443454952778685	-0.7377995968695983	0.4009521271460323	0.2167997841139531	-0.5771077785618247	0.5299017937723964	-0.47349845186442985	0.07440453797999669	0.03106217277575224	-1.1168005558782665	0.7163411320864831	-0.03894089758126725	1.4267923094881063	-0.3392493248255177	1.3027035156350248	0.31000236294677963	0.0	-1.0494553749191085	0.21646367176819836	1.6191441177788701	-0.6321724436347053	0.5270886957154335	-0.19476711384117995	-0.4232146206748782	-1.1720388776768154	-1.4340863280501173	0.891583960391579	0.5510130243208474	-0.46951105864774023	-0.01973986102862534	0.6806097412359778	-1.2148990589215065	0.059960988475151675	0.47600903527461824	0.21812897941832354	1.138963129761699	-0.3243849397752088	-0.08385830990384947	-0.7718163019968914	1.1718639960264652	-0.570567566931459	-0.29226437921091214	1.0028992367087834	0.6101811934099631	1.587371006196884	-0.36472534506324156	0.42572535445040954	-0.9025169433891785	-0.1244119840599334	-0.24739749981502585	-1.141682413990724
